run_label,prompt_id,stage,time_s
existing_002_session_20260418_192941,session_20260418_192941,Final render,0.48
existing_002_session_20260418_192941,session_20260418_192941,Highlighting & ckpt,0.6
existing_002_session_20260418_192941,session_20260418_192941,OWLv2 detection,5.91
existing_002_session_20260418_192941,session_20260418_192941,Total,216.1
existing_002_session_20260418_192941,session_20260418_192941,Unprojection & 3D detection,0.05
existing_002_session_20260418_192941,session_20260418_192941,Vase integration,0.82
existing_003_session_20260418_193421,session_20260418_193421,Final render,0.49
existing_003_session_20260418_193421,session_20260418_193421,Highlighting & ckpt,0.61
existing_003_session_20260418_193421,session_20260418_193421,OWLv2 detection,5.27
existing_003_session_20260418_193421,session_20260418_193421,Total,212.32
existing_003_session_20260418_193421,session_20260418_193421,Unprojection & 3D detection,0.06
existing_003_session_20260418_193421,session_20260418_193421,Vase integration,1.16
existing_004_session_20260418_193857,session_20260418_193857,Final render,0.49
existing_004_session_20260418_193857,session_20260418_193857,Highlighting & ckpt,0.61
existing_004_session_20260418_193857,session_20260418_193857,OWLv2 detection,5.08
existing_004_session_20260418_193857,session_20260418_193857,Total,211.55
existing_004_session_20260418_193857,session_20260418_193857,Unprojection & 3D detection,0.05
existing_004_session_20260418_193857,session_20260418_193857,Vase integration,1.16
existing_005_session_20260418_194345,session_20260418_194345,Final render,0.48
existing_005_session_20260418_194345,session_20260418_194345,Highlighting & ckpt,0.55
existing_005_session_20260418_194345,session_20260418_194345,OWLv2 detection,5.38
existing_005_session_20260418_194345,session_20260418_194345,Total,219.95
existing_005_session_20260418_194345,session_20260418_194345,Unprojection & 3D detection,0.05
existing_005_session_20260418_194345,session_20260418_194345,Vase integration,1.16
existing_006_session_20260418_194836,session_20260418_194836,Final render,0.5
existing_006_session_20260418_194836,session_20260418_194836,Highlighting & ckpt,2.93
existing_006_session_20260418_194836,session_20260418_194836,OWLv2 detection,5.13
existing_006_session_20260418_194836,session_20260418_194836,Total,223.08
existing_006_session_20260418_194836,session_20260418_194836,Unprojection & 3D detection,0.09
existing_006_session_20260418_194836,session_20260418_194836,Vase integration,1.22
existing_007_session_20260418_195326,session_20260418_195326,Final render,0.48
existing_007_session_20260418_195326,session_20260418_195326,Highlighting & ckpt,0.56
existing_007_session_20260418_195326,session_20260418_195326,OWLv2 detection,4.94
existing_007_session_20260418_195326,session_20260418_195326,Total,227.26
existing_007_session_20260418_195326,session_20260418_195326,Unprojection & 3D detection,0.05
existing_007_session_20260418_195326,session_20260418_195326,Vase integration,1.17
existing_008_session_20260418_195819,session_20260418_195819,Final render,0.47
existing_008_session_20260418_195819,session_20260418_195819,Highlighting & ckpt,0.58
existing_008_session_20260418_195819,session_20260418_195819,OWLv2 detection,5.33
existing_008_session_20260418_195819,session_20260418_195819,Total,207.66
existing_008_session_20260418_195819,session_20260418_195819,Unprojection & 3D detection,0.05
existing_008_session_20260418_195819,session_20260418_195819,Vase integration,1.17
existing_009_session_20260418_200258,session_20260418_200258,Final render,0.49
existing_009_session_20260418_200258,session_20260418_200258,Highlighting & ckpt,0.66
existing_009_session_20260418_200258,session_20260418_200258,OWLv2 detection,5.26
existing_009_session_20260418_200258,session_20260418_200258,Total,211.74
existing_009_session_20260418_200258,session_20260418_200258,Unprojection & 3D detection,0.05
existing_009_session_20260418_200258,session_20260418_200258,Vase integration,1.14
existing_010_session_20260418_200738,session_20260418_200738,Final render,0.48
existing_010_session_20260418_200738,session_20260418_200738,Highlighting & ckpt,0.6
existing_010_session_20260418_200738,session_20260418_200738,OWLv2 detection,6.83
existing_010_session_20260418_200738,session_20260418_200738,Total,175.76
existing_010_session_20260418_200738,session_20260418_200738,Unprojection & 3D detection,0.05
existing_010_session_20260418_200738,session_20260418_200738,Vase integration,1.17
existing_011_session_20260418_201137,session_20260418_201137,Final render,0.49
existing_011_session_20260418_201137,session_20260418_201137,Highlighting & ckpt,0.62
existing_011_session_20260418_201137,session_20260418_201137,OWLv2 detection,5.92
existing_011_session_20260418_201137,session_20260418_201137,Total,208.51
existing_011_session_20260418_201137,session_20260418_201137,Unprojection & 3D detection,0.05
existing_011_session_20260418_201137,session_20260418_201137,Vase integration,1.1
existing_012_session_20260418_201611,session_20260418_201611,Final render,0.5
existing_012_session_20260418_201611,session_20260418_201611,Highlighting & ckpt,0.62
existing_012_session_20260418_201611,session_20260418_201611,OWLv2 detection,5.33
existing_012_session_20260418_201611,session_20260418_201611,Total,177.77
existing_012_session_20260418_201611,session_20260418_201611,Unprojection & 3D detection,0.05
existing_012_session_20260418_201611,session_20260418_201611,Vase integration,1.14
existing_013_session_20260418_202025,session_20260418_202025,Final render,0.5
existing_013_session_20260418_202025,session_20260418_202025,Highlighting & ckpt,0.58
existing_013_session_20260418_202025,session_20260418_202025,OWLv2 detection,5.14
existing_013_session_20260418_202025,session_20260418_202025,Total,210.74
existing_013_session_20260418_202025,session_20260418_202025,Unprojection & 3D detection,0.05
existing_013_session_20260418_202025,session_20260418_202025,Vase integration,1.12
